start_date,end_date,node_count,relationship_count,number_of_leiden_communities,largest_leiden_community_size,leiden_equal_weight_sentiment,largest_community_size_weighted_sentiment,simple_mean_sentiment,betweenness_weighted_sentiment,degree_weighted_sentiment,pagerank_weighted_sentiment,community_pagerank_weighted_sentiment,similarity_cutoff
2015-01-28,2015-03-18,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-03-18,2015-04-29,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-04-29,2015-06-17,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-06-17,2015-07-29,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-07-29,2015-09-17,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-09-17,2015-10-28,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-10-28,2015-12-16,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2015-12-16,2016-01-27,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-01-27,2016-03-16,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-03-16,2016-04-27,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-04-27,2016-06-15,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-06-15,2016-07-27,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-07-27,2016-09-21,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-09-21,2016-11-02,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-11-02,2016-12-14,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2016-12-14,2017-02-01,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-02-01,2017-03-15,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-03-15,2017-05-03,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-05-03,2017-06-14,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-06-14,2017-07-26,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-07-26,2017-09-20,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-09-20,2017-11-01,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-11-01,2017-12-13,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2017-12-13,2018-01-31,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2018-01-31,2018-03-21,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2018-03-21,2018-05-02,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2018-05-02,2018-06-13,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
2018-06-13,2018-08-01,93,3744,4,28,0.43607142857142855,0.13978494623655915,0.44086021505376344,0.5413882302220306,0.5140796250033898,0.5031269429363144,0.486818877834863,0.72
